yc0,P0,ycf,Pf,rhoco,rhome
0.0,4.9,0.0,4.936826494247097,0.0,0.00011281264
0.0,10.0,0.0,10.112764454370023,0.0,0.00023264544
0.0,19.8,0.0,20.59050269831656,0.0,0.0004803577600000001
0.0,30.1,0.0,31.749468572815594,0.0,0.00074733048
0.0,40.2,0.0,42.84291696824235,0.0,0.00102856208
0.0,50.0,0.0,53.67836629487337,0.0,0.00130623136
0.0,60.1,0.0,66.46286878074702,0.0,0.00162443504
0.0,69.7,0.0,76.65278074305755,0.0,0.00191962568
0.0,79.9,0.0,87.59926348907476,0.0,0.00219347968
0.0,90.0,0.0,102.0971491299861,0.0,0.00260619968
0.0,99.8,0.0,116.28577745430277,0.0,0.0029818220799999995
0.0,109.7,0.0,130.38974488794508,0.0,0.00333887992
0.0,119.3,0.0,141.52746043070943,0.0,0.00372593424
0.0,130.2,0.0,154.85163180452437,0.0,0.00409304048
0.0,139.8,0.0,173.45127894919483,0.0,0.0045397278400000005
0.0,150.1,0.0,186.5137319098832,0.0,0.0049250961600000006
0.0,160.0,0.0,199.98254295456601,0.0,0.005210576000000001
0.0,169.8,0.0,223.2079336680316,0.0,0.00565845376
0.0,179.9,0.0,236.81173929234944,0.0,0.00591877912
0.0,191.0,0.0,-1048.873805992745,0.0,0.006055269279999999
1.0,5.1,1.0,5.219509429414856,0.00012167344,0.0
1.0,10.1,1.0,10.397857072822859,0.00024776352,0.0
1.0,14.5,1.0,15.6255778006112,0.00038096112,0.0
1.0,20.1,1.0,21.634616542588358,0.0005472735200000001,0.0
1.0,30.2,1.0,35.08900459226178,0.00095697304,0.0
1.0,40.0,1.0,51.858500627958925,0.0016383075200000002,0.0
1.0,49.9,1.0,68.62874074334718,0.0039509190400000005,0.0
1.0,61.3,1.0,58.33241375858372,0.009385675200000002,0.0
1.0,74.2,1.0,97.15427001393523,0.01069665936,0.0
1.0,81.8,1.0,156.99185637779007,0.01117970936,0.0
1.0,82.2,1.0,129.66059310092282,0.01090915872,0.0
1.0,89.4,1.0,172.03835925616832,0.01118096416,0.0
1.0,93.6,1.0,125.77507772463937,0.0112755084,0.0
1.0,97.0,1.0,119.74886770308173,0.01134002632,0.0
1.0,99.8,1.0,155.66576579178664,0.011425677200000001,0.0
1.0,102.7,1.0,145.08887337136983,0.011534159599999998,0.0
1.0,107.6,1.0,209.01635114957185,0.011707650640000001,0.0
1.0,115.5,1.0,205.94021690451953,0.01171160984,0.0
1.0,129.3,1.0,277.8782646685738,0.01200936536,0.0
1.0,144.5,1.0,268.4426529541957,0.01219844504,0.0
1.0,176.6,1.0,311.88133671178446,0.0123164032,0.0
0.2,9.7,0.2079874893474957,9.678226276838537,4.734751999999999e-05,0.00018029848000000002
0.2,20.0,0.20101633999716492,20.922598777725334,9.903783999999998e-05,0.00039364768
0.2,39.5,0.22172148404233433,43.180916463301095,0.00023531591999999998,0.0008259972
0.2,60.8,0.23239005248228115,69.18510058981146,0.00042169168,0.00139289408
0.2,80.8,0.24345880493307548,99.21810078352482,0.00065748368,0.00204311152
0.2,99.8,0.27583442411325954,131.48073136173173,0.00105288352,0.00276420176
0.2,120.2,0.3240058734833824,162.02471305760702,0.00173967512,0.0036295952
0.2,140.0,0.326686232498635,190.07879609424862,0.0020622784,0.00425044064
0.2,159.1,0.3476065846009609,238.2759375835256,0.0025833588000000003,0.00484848776
0.2,180.9,0.35732413678272584,261.55545708502353,0.00294194904,0.0052913292
0.4,9.3,0.40774590152186196,9.57203926611028,9.103471999999999e-05,0.00013222864
0.4,20.1,0.4049681052976177,21.073362032797014,0.00020544816,0.0003018712
0.4,39.0,0.42930697690833974,42.45535527319962,0.0004700196,0.00062481376
0.4,61.2,0.47981770248184524,75.22747870470708,0.00105915712,0.00114825856
0.4,80.1,0.5152637231803556,108.33771620832422,0.0018660824800000003,0.0017555240799999997
0.4,100.3,0.5703974364232801,148.73856961313737,0.00367027072,0.0027643141599999997
0.4,119.9,0.5705206970215843,171.9569500850535,0.00435512944,0.0032784752
0.4,140.2,0.5916784104788195,202.77778326888463,0.00530688536,0.00366232032
0.4,160.3,0.5830218478078381,256.45860614737495,0.00552815248,0.00395374344
0.4,179.6,0.5871843426121731,300.9427216467396,0.00580728744,0.004082770959999999
0.6,10.4,0.6135308934298216,10.716135489992404,0.000154058,9.704263999999999e-05
0.6,19.3,0.6172870761260351,20.236325443967406,0.00030273536,0.00018769343999999998
0.6,40.5,0.6416303787018883,46.877538675665626,0.0008083452000000001,0.00045148480000000005
0.6,61.1,0.6800017482580523,82.27498911785767,0.00187074008,0.0008803411999999999
0.6,79.3,0.7646584753741599,97.81472296292661,0.00514456472,0.0015833600800000001
0.6,101.0,0.778188117211657,150.42702311805107,0.00708860888,0.0020205110400000003
0.6,121.0,0.7733948204879629,200.88666425210886,0.00758264712,0.00222172048
0.6,140.7,0.7672783503037334,270.5289101395735,0.0080397,0.0024385051999999997
0.6,160.8,0.7595087037199626,268.5410616328752,0.00821327584,0.00260065664
0.6,180.7,0.7610968127740608,296.65507849646383,0.008457520159999999,0.00265475888
0.6,190.1,0.7581004289703571,307.49782842731173,0.00840450392,0.00268176328
0.8,20.5,0.8061922841648335,21.798479324672645,0.00043860472,0.00010544007999999999
0.8,35.2,0.8298134309350175,40.81799428440651,0.00092785144,0.0001902932
0.8,46.6,0.8379604595819764,58.42562866913639,0.001573362,0.00030424688
0.8,69.7,0.9039706295239587,100.85201175144077,0.007332659440000001,0.00077895304
0.8,88.3,,,,
0.8,108.0,,,,
0.8,126.7,,,,
0.8,139.9,,,,
0.8,159.9,,,,
0.8,171.3,,,,
