T_res,P_res,yco_res,yco_sim,P_sim,E_sim,rhoco,rhome,yco_s,P_s,rhoco_s,rhome_s,E_s,time
30.0,10.0,0,0.0,10.636791390890416,-12.958505651886076,0.0,0.00025571778134472533,0.0,1.513854907084486,0.0,3.310709505889159e-05,4.248758808229215,194.31991314888
30.0,20.0,0,0.0,21.453675840198297,-25.963447269873512,0.0,0.0005272215765692454,0.0,2.372347604969897,0.0,4.14421746237353e-05,4.4404112569905045,408.68099212646484
30.0,30.0,0,0.0,29.938849667217365,-37.66430023818283,0.0,0.0007417503229204098,0.0,3.993645469726839,0.0,8.633409470928907e-05,5.508686309896032,470.32881784439087
30.0,40.0,0,0.0,39.55190595318247,-48.932083357600156,0.0,0.0010050091322761307,0.0,4.037763575407892,0.0,6.389865737817009e-05,4.331481949243754,669.5903251171112
30.0,50.0,0,0.0,50.34151975562209,-62.755529562963794,0.0,0.001268300621562845,0.0,3.5080160868157693,0.0,5.5613185175699045e-05,5.567671256848298,957.7508881092072
30.0,60.0,0,0.0,53.54909844886211,-73.3339479900633,0.0,0.0014158703322537174,0.0,5.107052837716549,0.0,5.3891433427779246e-05,4.322682632340168,1177.293907403946
30.0,70.0,0,0.0,65.51142635445083,-87.60596994948493,0.0,0.0017305775319888025,0.0,4.668566361763507,0.0,0.00010227286341701838,5.559941087325378,1476.9353592395782
30.0,80.0,0,0.0,73.13515422625998,-107.37570158809234,0.0,0.0020980263901920933,0.0,5.954201968078554,0.0,5.356663310817069e-05,4.259352389527688,1538.5284793376923
30.0,90.0,0,,,,,,,,,,,
30.0,100.0,0,,,,,,,,,,,
30.0,110.0,0,,,,,,,,,,,
30.0,120.0,0,,,,,,,,,,,
30.0,130.0,0,,,,,,,,,,,
30.0,140.0,0,,,,,,,,,,,
30.0,150.0,0,,,,,,,,,,,
30.0,160.0,0,,,,,,,,,,,
30.0,170.0,0,,,,,,,,,,,
30.0,180.0,0,,,,,,,,,,,
30.0,190.0,0,,,,,,,,,,,
30.0,200.0,0,,,,,,,,,,,
45.0,10.0,0,,,,,,,,,,,
45.0,20.0,0,,,,,,,,,,,
45.0,30.0,0,,,,,,,,,,,
45.0,40.0,0,,,,,,,,,,,
45.0,50.0,0,,,,,,,,,,,
45.0,60.0,0,,,,,,,,,,,
45.0,70.0,0,,,,,,,,,,,
45.0,80.0,0,,,,,,,,,,,
45.0,90.0,0,,,,,,,,,,,
45.0,100.0,0,,,,,,,,,,,
45.0,110.0,0,,,,,,,,,,,
45.0,120.0,0,,,,,,,,,,,
45.0,130.0,0,,,,,,,,,,,
45.0,140.0,0,,,,,,,,,,,
45.0,150.0,0,,,,,,,,,,,
45.0,160.0,0,,,,,,,,,,,
45.0,170.0,0,,,,,,,,,,,
45.0,180.0,0,,,,,,,,,,,
45.0,190.0,0,,,,,,,,,,,
45.0,200.0,0,,,,,,,,,,,
60.0,10.0,0,,,,,,,,,,,
60.0,20.0,0,,,,,,,,,,,
60.0,30.0,0,,,,,,,,,,,
60.0,40.0,0,,,,,,,,,,,
60.0,50.0,0,,,,,,,,,,,
60.0,60.0,0,,,,,,,,,,,
60.0,70.0,0,,,,,,,,,,,
60.0,80.0,0,,,,,,,,,,,
60.0,90.0,0,,,,,,,,,,,
60.0,100.0,0,,,,,,,,,,,
60.0,110.0,0,,,,,,,,,,,
60.0,120.0,0,,,,,,,,,,,
60.0,130.0,0,,,,,,,,,,,
60.0,140.0,0,,,,,,,,,,,
60.0,150.0,0,,,,,,,,,,,
60.0,160.0,0,,,,,,,,,,,
60.0,170.0,0,,,,,,,,,,,
60.0,180.0,0,,,,,,,,,,,
60.0,190.0,0,,,,,,,,,,,
60.0,200.0,0,,,,,,,,,,,
